ID,airport_name,type,country,lat,long,elevation,service
UA-9864,Chepelevka (Uzin) Air Base,closed,UA,49.7906,30.441401,568.0,no
UA-9865,Chernihiv Shestovytsia Airport,closed,UA,51.402199,31.1583,446.0,no
UA-9868,Izmail International Airport,closed,UA,45.395959,28.801403,125.0,no
UA-9870,LyutIvka Airfield,closed,UA,50.290867,35.837666,730.0,no
UA-9879,Dmitrovka Airfield,closed,UA,46.839552,36.587008,148.0,no
UA-9885,Botiyevska Wind Power Heliport,heliport,UA,46.6273,35.736362,47.0,no
UA-9886,Davydkovtsy Heliport,heliport,UA,49.42165,27.149767,1168.0,no
UA-9887,Kiev - Gora Heliport,heliport,UA,50.365525,30.838816,423.0,no
UK59,Chuhuiv Air Base,small_airport,UA,49.8382,36.641201,453.0,no
UK61,Jagellon Airfield,small_airport,UA,49.7379,23.6689,895.0,no
UKBB,Boryspil International Airport,medium_airport,UA,50.345001,30.894699,427.0,no
UKBH,Korshun Shevchenkovskiy Airfield,small_airport,UA,49.424902,31.230242,500.0,no
UKCK,Kramatorsk Airport,small_airport,UA,48.706799,37.630922,646.0,no
UKCM,Mariupol International Airport,medium_airport,UA,47.07609939575195,37.44960021972656,251.0,yes
UKDB,Berdyansk Airport,medium_airport,UA,46.814999,36.758099,171.0,no
UKDD,Dnipro International Airport,medium_airport,UA,48.357201,35.100601,481.0,yes
UKDR,Kryvyi Rih International Airport,medium_airport,UA,48.04330062866211,33.209999084472656,408.0,yes
UKFG,Gvardeyskoye (Hvardiiske) Air Base,medium_airport,UA,45.116192,33.976625,721.0,no
UKFK,Kerch Airport,small_airport,UA,45.372501,36.401402,171.0,no
UKFY,Dzhankoy Air Base,medium_airport,UA,45.700901,34.4189,75.0,no
UKHD,Kharkiv North Airport,small_airport,UA,50.024675,36.266775,592.0,no
UKHG,Globino Heliport,closed,UA,49.410974,33.265602,333.0,no
UKHH,Kharkiv International Airport,medium_airport,UA,49.926943,36.290814,508.0,no
UKIN,Haisyn Airfield,small_airport,UA,48.825876,29.33431,790.0,no
UKKE,Cherkasy International Airport,medium_airport,UA,49.4156,31.9953,375.0,no
UKKG,Kirovograd Airport,small_airport,UA,48.542801,32.285,568.0,no
UKKK,Igor Sikorsky Kyiv International Airport (Zhuliany),closed,UA,50.40194,30.45194,587.0,yes
UKKM,Hostomel Airport,medium_airport,UA,50.6035,30.1919,517.0,no
UKLC,Lutsk Airport,small_airport,UA,50.678404,25.487165,774.0,no
UKLH,Khmelnytskyi Airport,medium_airport,UA,49.359699,26.933399,1150.0,no
UKLI,Ivano-Frankivsk International Airport,medium_airport,UA,48.88420104980469,24.68610000610352,919.0,yes
UKLL,Lviv International Airport,large_airport,UA,49.8125,23.9561,1071.0,yes
UKLN,Chernivtsi International Airport,medium_airport,UA,48.2593002319336,25.98080062866211,826.0,yes
UKNG,Gogoliv Airfield,small_airport,UA,50.515308,31.046581,,no
UKOH,Kherson International Airport,medium_airport,UA,46.6758,32.506401,148.0,yes
UKON,Mykolaiv International Airport,closed,UA,47.057899,31.9198,184.0,yes
UKOR,Kulbakyne Air Base,small_airport,UA,46.936433,32.098618,177.0,no
